License Number,Facility Name,DBA,Facility Type,Street,City,ZIP Code,Expiration Date,Date Updated
402-00429,SPARK VENTURES INC,SPARK DISPENSARY,Medical Marijuana Store,4799 North Colorado Boulevard,Denver,80216,7/5/2027,8/3/2026
402-00959,SPFF COLO LLC,COS CONFIDENTIAL,Medical Marijuana Store,3044 West Colorado Avenue,Colorado Springs,80904,8/25/2027,8/3/2026
402-00923,ST MANHATTAN LLC,TERRAPIN CARE STATION,Medical Marijuana Store,"5370 Manhattan Circle, Suite 104",Boulder,80303,10/11/2026,8/3/2026
402-00830,STONE T.M.C. LLC,THE STONE,Medical Marijuana Store,4842 Morrison Road Unit 420,Denver,80219,8/8/2027,8/3/2026
402-01130,STONEY HARRIS LLC,KIKA KUSH,Medical Marijuana Store,3840 North Nevada Avenue,Colorado Springs,80907,11/24/2026,8/3/2026
402-00439,STONEY HARRIS LLC,KIKA KUSH,Medical Marijuana Store,555 North Circle Drive,Colorado Springs,80909,12/18/2026,8/3/2026
402-00576,SUNRISE SOLUTIONS,,Medical Marijuana Store,43 Main Street,Bailey,80421,4/26/2027,8/3/2026
402-00614,SWEET LEAF PIONEER LLC,,Medical Marijuana Store,825A Chambers Avenue,Eagle,81631,9/7/2026,8/3/2026
402-01167,TEN SIX OF COLORADO LLC,LUCKY CAT CANNABIS CO.,Medical Marijuana Store,"1428 North Circle Drive, Unit 2",Colorado Springs,80909,4/28/2027,8/3/2026
402-00428,THE 64 STORE LLC,THE 64 STORE,Medical Marijuana Store,502 West Colorado Avenue,Colorado Springs,80905,7/5/2027,8/3/2026
402-01120,THE 720 DISPENSARY LLC,THE 720 DISPENSARY,Medical Marijuana Store,2949 West Alameda Avenue,Denver,80219,10/30/2026,8/3/2026
402-00880,THE EPIC REMEDY LLC,THE ER,Medical Marijuana Store,1602 West Colorado Avenue,Colorado Springs,80904,10/24/2026,8/3/2026
402-01111,THE EPIC REMEDY LLC,THE ER,Medical Marijuana Store,2712 East Fountain Boulevard,Colorado Springs,80910,10/2/2026,8/3/2026
402-00918,THE EPIC REMEDY LLC,THE ER,Medical Marijuana Store,4335 East Platte Avenue,Colorado Springs,80915,6/11/2027,8/3/2026
402-00383,THE EPIC REMEDY LLC,THE ER,Medical Marijuana Store,3636 Jeannine Drive,Colorado Springs,80917,6/6/2027,8/3/2026
402-01092,THE EPIC REMEDY LLC,THE ER,Medical Marijuana Store,3995 North Academy Boulevard,Colorado Springs,80917,6/20/2027,8/3/2026
402-00193,THE GIVING TREE OF DENVER LLC,,Medical Marijuana Store,2707 West 38th Avenue,Denver,80211,12/7/2027,8/3/2026
402-00839,THE GREEN SOLUTION LLC,,Medical Marijuana Store,810 North College Avenue,Fort Collins,80524,6/26/2027,8/3/2026
402-00103,THE HEALING CANNA LLC,,Medical Marijuana Store,22 South Chestnut Street,Colorado Springs,80905,8/8/2027,8/3/2026
402-00584,THE HEALING CANNA LLC,HEALING CANNA,Medical Marijuana Store,3692 East Bijou Street,Colorado Springs,80909,5/2/2027,8/3/2026
402-00744,THE HERB SHOPPE LLC,THE HERB SHOPPE,Medical Marijuana Store,"3020 West Colorado Avenue, Suite D",Colorado Springs,80904,8/10/2026,8/3/2026
402-00507,THE HERBAL CURE LLC,,Medical Marijuana Store,985 South Logan Street ,Denver,80209,4/9/2027,8/3/2026
402-01525,THE SPACE STATION LLC,THE SPACE STATION,Medical Marijuana Store,206 South Main Street,Longmont,80501,3/13/2027,8/3/2026
402-01158,THREE RIVERS DEVELOPMENT LLC,THREE RIVERS DISPENSARY,Medical Marijuana Store,"135 South Broadway, Unit C,",Denver,80209,3/4/2027,8/3/2026
402-01005,THREE RIVERS DEVELOPMENT LLC,THREE RIVERS DISPENSARY,Medical Marijuana Store,1714 Santa Fe Drive,Pueblo,81006,12/31/2026,8/3/2026
402-01154,TOTAL GREEN LLC,TOTAL GREEN,Medical Marijuana Store,1105 South Chelton Road,Colorado Springs,80910,3/2/2027,8/3/2026
402-00232,TRICHOME HEALTH CONSULTANTS INC,TRICHOME HEALTH CONSULTANTS,Medical Marijuana Store,2117 West Colorado Avenue,Colorado Springs,80904,4/9/2027,8/3/2026
402-00992,TRINIDADS HIGHER CALLING U LLC,,Medical Marijuana Store,1000 Independence Road,Trinidad,81082,11/5/2026,8/3/2026
402-01066,TROY ENTERPRISES LLC,ELEVATIONS,Medical Marijuana Store,8270 Razorback Road,Colorado Springs,80920,5/24/2027,8/3/2026
402-00080,TUMBLEWEED STEAMBOAT LLC,RK ENTERPRISES,Medical Marijuana Store,2093 Curve Plaza Unit C-103,Steamboat Springs,80487,10/30/2026,8/3/2026
402-00840,VERTS LLC,VERTS NEIGHBORHOOD DISPENSARY,Medical Marijuana Store,"1240 West Elizabeth Street, Unit A, B, C, and D,",Fort Collins,80521,6/26/2027,8/3/2026
402-00170,VIREO HEALTH OF DENVER METRO LLC,STAR BUDS,Medical Marijuana Store,1640 East Evans Avenue,Denver,80210,11/18/2026,8/3/2026
402-00729,VIREO HEALTH OF DENVER METRO LLC,STANDING AKIMBO,Medical Marijuana Store,3801 North Jason Street,Denver,80211,9/13/2027,8/3/2026
402-01310,VIREO HEALTH OF DENVER METRO LLC,STAR BUDS,Medical Marijuana Store,5238 West 44th Avenue,Mountain View,80212,4/22/2027,8/3/2026
402-01319,VIREO HEALTH OF FOOTHILLS LLC,STAR BUDS,Medical Marijuana Store,27 Manitou Avenue,Manitou Springs,80829,11/12/2026,8/3/2026
402-01723,VIREO HEALTH OF NOCO LLC,STAR BUDS,Medical Marijuana Store,560 North 7th Avenue,Brighton,80601,2/18/2027,8/3/2026
402-00858,VIREO HEALTH OF NOCO LLC,STAR BUDS,Medical Marijuana Store,"5740 South College Avenue, Unit A",Fort Collins,80525,8/5/2027,8/3/2026
402-00419,VIREO HEALTH OF NOCO LLC,STAR BUDS,Medical Marijuana Store,2502 8th Avenue,Garden City,80631,8/30/2027,8/3/2026
402-01157,VIREO HEALTH OF SOCO LLC,STAR BUDS,Medical Marijuana Store,510 East Pikes Peak Avenue,Colorado Springs,80903,3/4/2027,8/3/2026
402-00209,VIREO HEALTH OF SOCO LLC,STAR BUDS,Medical Marijuana Store,265 South Wadsworth Boulevard,Lakewood,80226,6/18/2027,8/3/2026
402-00956,WELLNESS CENTER OF THE ROCKIES INC,THE CENTER,Medical Marijuana Store,600 South Broadway,Denver,80209,9/21/2027,8/3/2026
402-00789,WELLNESS CENTERS OF COLORADO LLC,FLAVORS,Medical Marijuana Store,"2755 Ore Mill Road, Unit 13",Colorado Springs,80904,10/11/2026,8/3/2026
402-00581,WELLNESS CENTERS OF COLORADO LLC,FRONT RANGE CANNABIS,Medical Marijuana Store,1330 West Garden of the Gods Road,Colorado Springs,80907,3/11/2027,8/3/2026
402-00513,WELLNESS CENTERS OF COLORADO LLC,EMJ'S,Medical Marijuana Store,2918-2920 Wood Avenue,Colorado Springs,80907,11/27/2026,8/3/2026
402-01721,WESTERN CONSOLIDATED LLC,GALAXY GREENS,Medical Marijuana Store,"125 West Bridge Street, Unit D",Brighton,80601,9/13/2027,8/3/2026
402-00237,WESTSIDE WELLNESS CENTER LLC,MAGGIE'S FARM,Medical Marijuana Store,818 East Fillmore Street,Colorado Springs,80907,4/27/2027,8/3/2026
402-00670,YUMA BG LLC,,Medical Marijuana Store,80 South Pennsylvania Street,Denver,80209,4/5/2027,8/3/2026
402-01278,YUMA WAY LLC,TWIN PEAKS DISPENSARY,Medical Marijuana Store,"900 South Hover Street, Unit A",Longmont,80501,2/5/2027,8/3/2026
