license_number,legal_name,trade_name,store_type,address,city,region,postal_code,country,latitude,longitude,official_website,regulator_url,license_status,operational_status,coordinates_source,coordinates_confidence,location_evidence
DA-23-00071,"Freestate Partners, LLC",Revolution Releaf,OTHER_REGULATED_POINT,9994 Washington Blvd. N Laurel Maryland 20723,,Howard,,US,39.1112,-76.8367,https://www.revolutionreleaf.com/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00072,"Far & Dotter CC, LLC",Pharmkent,OTHER_REGULATED_POINT,330 E. Pulaski Highway Elkton Maryland 21921,,Cecil,,US,39.5977,-75.8174,https://fardotter.com/?location=pharmkent,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00073,"Herbiculture, Inc",The Apothecarium Dispensary - Burtonsville,OTHER_REGULATED_POINT,"4009 Sandy Spring Rd, Unit 101 Burtonsville Maryland 20866",,Montgomery,,US,39.1111,-76.9278,https://herbiculture.com/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00074,"Hallaway, LLC",Starbuds Baltimore,OTHER_REGULATED_POINT,5975 Belair Road Baltimore Maryland 21206,,Baltimore City,,US,39.3471,-76.539,https://shop.starbuds.us/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00075,"Curio Dispensary BC, LLC",Far & Dotter,OTHER_REGULATED_POINT,2060-A York Road Timonium Maryland 21093,,Baltimore,,US,39.4414,-76.6266,https://fardotter.com/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00076,"Chesapeake apothecary, LLC",Chesapeake Apothecary - White Plains,OTHER_REGULATED_POINT,4781 Crain Highway Suite A White Plains Maryland 20695,,Charles,,US,38.5814,-76.9561,https://http://www.chesapeakeapothecary.com/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00077,"Culta Dispensary Group, LLC",Culta - Federal Hill,OTHER_REGULATED_POINT,215 Key Highway Baltimore Maryland 21230,,Baltimore City,,US,39.2805,-76.6103,https://www.culta.io/location/baltimore,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00078,"Meshow, LLC",RISE - Joppa,OTHER_REGULATED_POINT,702 Pulaski Hwy Joppa Maryland 21085,,Harford,,US,39.4299,-76.3524,https://risecannabis.com/dispensaries/maryland/joppa/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00079,"Chesapeake Health Sciences, LLC",Mana - Middle River,OTHER_REGULATED_POINT,100 Carroll Island Rd. Middleriver Maryland 21220,,Baltimore,,US,39.3378,-76.4002,https://manasupply.com/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00080,"Cannavations MD, LLC",Kip Dispensary,OTHER_REGULATED_POINT,9 Cranbrook Rd. Cockeysville Maryland 21030,,Baltimore,,US,39.4632,-76.635,https://kipcan.com/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00081,"Cha enterprises, Inc",Mary & Main,OTHER_REGULATED_POINT,8801 Hampton Mall Drive N. Capitol Heights Maryland 20743,,Prince George's,,US,38.8891,-76.8527,https://maryandmain.com/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
DA-23-00082,"Evolution Wellness, LLC",Mana - Edgewater,OTHER_REGULATED_POINT,3005 Solomons Island Road Edgewater Maryland 21037,,Anne Arundel,,US,38.9446,-76.5597,https://manasupply.com/shop/edgewater-maryland/,https://cannabis.maryland.gov/Pages/Data-Dashboard.aspx,UNKNOWN_STATUS,UNKNOWN_STATUS,OFFICIAL_MCA_DATA_DASHBOARD,PROVEN,STRONG
