"LicenceNumber","ApplicationStatusEn","LicenceStatus","LicenceTypeEn","Latitude","Longitude","PremisesName","StreetAddress","City","Province","PostalCode","AddressID"
"CRSA1172448","Authorized to Open","Active","Cannabis Retail Store Authorization","43.6390952","-79.4448508","Spiritleaf 1698 Queen St W","1698 QUEEN ST W","TORONTO","ON","M6R1B3","34007836"
"CRSA1172449","Authorized to Open","Active","Cannabis Retail Store Authorization","43.3318303225228","-79.8966629229616","SPIRITLEAF 64 HAMILTON STREET NORTH","64 HAMILTON ST N UNIT 2A","WATERDOWN","ON","L8B0E6","64497013"
"CRSA1172455","Authorized to Open","Active","Cannabis Retail Store Authorization","44.3553571218668","-78.7352035884839","Lindsay Cannabis Store","17 KENT ST W","LINDSAY","ON","K9V2X9","24142211"
"CRSA1172459","Authorized to Open","Active","Cannabis Retail Store Authorization","43.2264939758784","-79.8724822693463","SilverLeaf Cannabis","171 MOHAWK RD E, UNIT 1","HAMILTON","ON","L9A 2H4","66660896"
"CRSA1172462","Authorized to Open","Active","Cannabis Retail Store Authorization","44.2631999982426","-76.5741895030902","Calyx + Trichomes","1105 MIDLAND AVE UNITS 4 - 5","KINGSTON","ON","K7P2X8","65193715"
"CRSA1172464","Authorized to Open","Active","Cannabis Retail Store Authorization","43.1560205515573","-79.2620276251204","Garden City Cannabis Co","111 FOURTH AVE UNIT 9","ST CATHARINES","ON","L2S3P5","64498598"
"CRSA1172469","Authorized to Open","Active","Cannabis Retail Store Authorization","43.7989758520115","-79.1956358308614","SPIRITLEAF 875 MILNER AVENUE","875 MILNER AVE UNIT 114","SCARBOROUGH","ON","M1B5N6","64499198"
"CRSA1172471","Authorized to Open","Active","Cannabis Retail Store Authorization","43.7082899192394","-79.3760978840962","Canna Cabana East York","1723 BAYVIEW AVE UNIT A1","EAST YORK","ON","M4G3C1","64499360"
"CRSA1172471","Authorized to Open","Active","Cannabis Retail Store Authorization","43.7082899192394","-79.3760978840962","Canna Cabana East York","1723 BAYVIEW AVE UNIT A1","EAST YORK","ON","M4G3C1","64499360"
"CRSA1172474","Authorized to Open","Active","Cannabis Retail Store Authorization","43.7749930858096","-79.4693253963586","SESSIONS CANNABIS NORTH YORK","4700 DUFFERIN ST UNIT 3","NORTH YORK","ON","M3H5S7","43922239"
"CRSA1172478","Authorized to Open","Active","Cannabis Retail Store Authorization","42.7790475344995","-81.1946436975845","Bob's Bud Emporium","483 TALBOT ST","ST THOMAS","ON","N5P1C3","64499953"
"CRSA1172479","Authorized to Open","Active","Cannabis Retail Store Authorization","48.384065536211","-89.2452502456287","RAINBOW THUNDER BAY CANNABIS ACCESSORIES ","428 VICTORIA AVE E","THUNDER BAY","ON","P7C1A5","64500031"
"CRSA1172484","Authorized to Open","Active","Cannabis Retail Store Authorization","45.4003116751509","-75.7301921726541","Spiritleaf 1200B Wellington Street West","1200B WELLINGTON ST W","OTTAWA","ON","K1Y2Z7","95403"
"CRSA1172485","Authorized to Open","Active","Cannabis Retail Store Authorization","43.5214044979512","-80.2358632648742","Spiritleaf Guelph","492 EDINBURGH RD S UNIT B2B","GUELPH","ON","N1G4Z1","52406653"
"CRSA1172490","Authorized to Open","Active","Cannabis Retail Store Authorization","43.6656635187545","-79.4875082740781","Budders","3466 DUNDAS ST W UNIT 1","YORK","ON","M6S2S1","44195930"
"CRSA1172491","Authorized to Open","Active","Cannabis Retail Store Authorization","43.6564339930751","-79.3569637913035","Northern Helm Cannabis","514 KING ST E UNIT E","TORONTO","ON","M5A1M1","65701653"
"CRSA1172492","Authorized to Open","Active","Cannabis Retail Store Authorization","46.5423099358894","-84.3190664173813","Cannabis Jack's","518 GREAT NORTHERN RD UNIT 1","SAULT STE. MARIE","ON","P6B4Z9","44142923"
"CRSA1172497","Authorized to Open","Active","Cannabis Retail Store Authorization","44.7346238821552","-77.1597490562635","41 Cannabis Company","12278 HIGHWAY 41 RR 1","NORTHBROOK","ON","K0H2G0","53493387"
"CRSA1172497","Authorized to Open","Active","Cannabis Retail Store Authorization","44.7346238821552","-77.1597490562635","41 Cannabis Company","12278 HIGHWAY 41 RR 1","NORTHBROOK","ON","K0H2G0","53493387"
"CRSA1172499","Authorized to Open","Active","Cannabis Retail Store Authorization","43.3157024371572","-79.9136212968721","GRASS STATION","53 DUNDAS ST E SUITE 2","WATERDOWN","ON","L8B0X1","67000218"
"CRSA1172501","Authorized to Open","Active","Cannabis Retail Store Authorization","42.3922089275779","-82.1970547002711","Bud Bank","445 RICHMOND ST","CHATHAM","ON","N7M1R2","53067528"
"CRSA1172508","Authorized to Open","Active","Cannabis Retail Store Authorization","43.6679253933216","-79.4879047455441","SPIRITLEAF","2561 ST CLAIR AVE W UNIT B2","TORONTO","ON","M6N 4Z5","77195686"
"CRSA1172509","Authorized to Open","Active","Cannabis Retail Store Authorization","45.2701046039586","-75.7425000477522","Tokyo Smoke Chapman Mills","80 MARKETPLACE AVE UNIT J009","NEPEAN","ON","K2J5G3","67479040"
"CRSA1172510","Authorized to Open","Active","Cannabis Retail Store Authorization","43.6890036622424","-79.4951611666571","Canvas Cannabis","1285 WESTON RD","YORK","ON","M6M4R2","145877"
