Dispensary Name,Latitude,Longitude,Serves Medical Patients,BLS Region,City,Dispensary Name,Street Address
Smokehouse Fox Lake,42.39368,-88.18439,No,Chicago-Naperville-Elgin,Fox Lake,Smokehouse Fox Lake,44 S US Highway 12
Snap Canna - Elk Grove Vilage,42.02797,-87.97504,No,Chicago-Naperville-Elgin,Elk Grove Village,Snap Canna - Elk Grove Vilage,840 E. Higgins Rd.
Snap Canna - Pontiac,40.87303,-88.66572,No,West Central Illinois Nonmetropolitan,Pontiac,Snap Canna - Pontiac,1910 W Reynolds St Unit A
Sociale Park Ridge,41.98734,-87.84003,No,Chicago-Naperville-Elgin,Park Ridge,Sociale Park Ridge,1036 Higgins Rd
Spark'd - Crystal Lake,42.25053,-88.28761,No,Chicago-Naperville-Elgin,Crystal Lake,Spark'd - Crystal Lake,330 State Route 31
Spark'd - Richmond,42.46741,-88.30591,No,Chicago-Naperville-Elgin,Richmond,Spark'd - Richmond,9705 Prairie Ridge
Spark'd Wicker Park,41.90408,-87.66784,No,Chicago-Naperville-Elgin,Chicago,Spark'd Wicker Park,1212 N Ashland Ave
Sparkd Dispensary - South Loop,41.85375,-87.62593,No,Chicago-Naperville-Elgin,Chicago,Sparkd Dispensary - South Loop,2114 S Wabash Ave
Sparkd  Winthrop Harbor,42.47758,-87.82366,No,Chicago-Naperville-Elgin,Winthrop Harbor,Sparkd  Winthrop Harbor,935 Sheridan Rd
Starbuds - Riverside,41.84185,-87.80374,No,Chicago-Naperville-Elgin,Riverside,Starbuds - Riverside,2704 Harlem Ave
Starbuds - Summit,41.79287,-87.802,No,Chicago-Naperville-Elgin,Summit,Starbuds - Summit,5436 S Harlem Ave
Starbuds Hoffman Estates,42.04905,-88.07909,No,Chicago-Naperville-Elgin,Hoffman Estates,Starbuds Hoffman Estates,5 E Golf Rd
Starbuds WM,41.80992,-87.97909,No,Chicago-Naperville-Elgin,Westmont,Starbuds WM,101 W Ogden Ave
Starbuds-Burbank,41.74998,-87.74181,No,Chicago-Naperville-Elgin,Burbank,Starbuds-Burbank,7844 S Cicero Ave
Stash - Peru,41.35848,-89.12319,No,Northwest Illinois nonmetropolitan area,Peru,Stash - Peru,1320 38th St
Stash - Richton Park,41.4856,-87.71493,No,Chicago-Naperville-Elgin,Richton Park,Stash - Richton Park,22214 Governors Hwy
Stash Orland Hills,41.58614,-87.85076,No,Chicago-Naperville-Elgin,Orland Hills,Stash Orland Hills,9545 167th St.
Stashouse - Maryville,38.70528,-89.95879,No,"St. Louis, MO",Collinsville,Stashouse - Maryville,2533 Vandalia St
Stashouse - Moline,41.47332,-90.47403,No,Davenport-Moline-Rock Island,Moline,Stashouse - Moline,4301 44th Ave
Sunnyside - Buffalo Grove,42.159401,-87.96328,Yes,Chicago-Naperville-Elgin,Buffalo Grove,Sunnyside - Buffalo Grove,830 Milwaukee Ave
Sunnyside - Champaign,40.112671,-88.24292,Yes,Champaign-Urbana,Champaign,Sunnyside - Champaign,1704 S Neil St Ste C
Sunnyside - Chi-River North,41.89032,-87.63142,No,Chicago-Naperville-Elgin,Chicago,Sunnyside - Chi-River North,436 N. Clark St.
Sunnyside - Danville,40.211197,-87.674477,No,Danville,Danville,Sunnyside - Danville,369 Lynch Dr.
Sunnyside - Elmwood Park,41.922359,-87.807732,Yes,Peoria,Elmwood Park,Sunnyside - Elmwood Park,7955 W Grand Ave
Sunnyside - Rockford,42.279171,-89.025818,Yes,Rockford,Rockford,Sunnyside - Rockford,2696 McFarland Rd
Sunnyside - Schaumburg,42.052132,-88.047821,No,Chicago-Naperville-Elgin,Schaumburg,Sunnyside - Schaumburg,1739 E. Golf Rd.
Sunnyside - South Beloit,42.481899,-89.025414,No,Rockford,South Beloit,Sunnyside - South Beloit,7000 First Ranger Dr.
Sunnyside - Wrigleyville,41.939968,-87.652168,Yes,Chicago-Naperville-Elgin,Chicago,Sunnyside - Wrigleyville,3524 N. Clark St.
Sunnyside  Naperville,41.707722,-88.199921,No,Chicago-Naperville-Elgin,Naperville,Sunnyside  Naperville,2740 W 75th St
Supergood Store,42.06526,-87.90866,No,Chicago-Naperville-Elgin,Des Plaines,Supergood Store,660 N. Wolf Rd.
Sway,41.94329,-87.64963,No,Chicago-Naperville-Elgin,Chicago,Sway,3340 N Halsted St.
Terrabis - Dixon,41.82689,-89.47526,No,Northwest Illinois nonmetropolitan area,Dixon,Terrabis - Dixon,1679 S Galena Ave.
Terrabis - Grayville,38.24338,-87.99788,No,South Illinois Nonmetropolitan,Grayville,Terrabis - Grayville,105 Koehler St.
Terrabis - Mundelein,42.2848,-8804791,No,Chicago-Naperville-Elgin,Mundelein,Terrabis - Mundelein,3210 W II Route 60
Terrabis - Woodstock,42.31064,-88.43188,No,Chicago-Naperville-Elgin,Woodstock,Terrabis - Woodstock,601 S Eastwood Dr
Terrabis Plainfield,41.59068,-88.20214,No,Chicago-Naperville-Elgin,Plainfield,Terrabis Plainfield,16020 S Route 59
Terrace - Alton,38.88826,-90.16488,No,"St. Louis, MO",Alton,Terrace - Alton,1400 E Broadway
Terrace Cannabis - Milan,41.44502,-90.54146,No,Davenport-Moline-Rock Island,Milan,Terrace Cannabis - Milan,800 Tech Dr
Terrace Moline,41.49276,-90.49793,No,Davenport-Moline-Rock Island,Moline,Terrace Moline,2727 Avenue of the Cities
The Cannaisseur - Wood River,38.860898,-90.097034,No,Chicago-Naperville-Elgin,Wood River,The Cannaisseur - Wood River,40 E Ferguson Ave
The Carbondale Dispensary,37.72793,-89.20753,No,Carbondale-Marion,Carbondale,The Carbondale Dispensary,613 E Main St.
The Dispensary,41.85714,-90.150642,Yes,West Central Illinois Nonmetropolitan,Fulton,The Dispensary,1801 16th Ave
The Dispensary Champaign,40.12023,-88.2787,No,Champaign-Urbana,Champaign,The Dispensary Champaign,1826 Glenn Park Dr
The Dispensary  East Dubuque,42.485909,-90.605461,No,Northwest Illinois nonmetropolitan area,East Dubuque,The Dispensary  East Dubuque,1709 Il Route 35 N
The Happy Cannabis Company - Rockford,42.213741,-89.045242,Yes,Rockford,Rockford,The Happy Cannabis Company - Rockford,4777 Stenstrom Rd
The Happy Cannabis Company  Loves Park,42.32592,-89.022881,No,Rockford,Loves Park,The Happy Cannabis Company  Loves Park,4120 N Bell School Rd
Thrive - Casey,39.31021,-87.98764,No,East Central IL Nonmetropolitan,Casey,Thrive - Casey,912 N Route 49
Thrive Anna,37.459629,-89.214493,Yes,South Illinois Nonmetropolitan,Anna,Thrive Anna,87 Richview Drive
Thrive Dispensary - Mt. Vernon,38.323872,-88.904037,No,South Illinois Nonmetropolitan,Mount Vernon,Thrive Dispensary - Mt. Vernon,800 S 45th St
Thrive Harrisburg,37.72205,-88.545067,Yes,South Illinois Nonmetropolitan,Harrisburg,Thrive Harrisburg,105 N Veterans Drive
Thrive Metropolis,37.181862,-88.723419,No,South Illinois Nonmetropolitan,Metropolis,Thrive Metropolis,1551 E. 5th St.
Tree Haus - Diamond,41.29034,-88.2412,No,Chicago-Naperville-Elgin,Diamond,Tree Haus - Diamond,2910 E. Division St
Tree Haus Morris,41.39228,-88.42345,No,Chicago-Naperville-Elgin,Morris,Tree Haus Morris,50 Gore Rd
Trinity Compassionate Care Center,40.757019,-89.610451,No,Peoria,Peoria,Trinity Compassionate Care Center,2301 W. Glen Ave.
Trinity Compassionate Care Centers,40.710159,-89.63549,Yes,Peoria,Peoria,Trinity Compassionate Care Centers,3125 N University St Ste B
Tru Essence Arlington Heights,42.10787,-87.97007,No,Chicago-Naperville-Elgin,Arlington Heights,Tru Essence Arlington Heights,792 E Rand Rd.
UMI - Chicago,41.92924,-87.65315,No,Chicago-Naperville-Elgin,Chicago,UMI - Chicago,2575 N Lincoln Ave.
Verilife Arlington Heights,42.064308,-87.98304,Yes,Chicago-Naperville-Elgin,Arlington Heights,Verilife Arlington Heights,1816 S Arlington Heights Rd
Verilife  Chicago River North,41.89594,-87.63048,No,Chicago-Naperville-Elgin,Chicago,Verilife  Chicago River North,60 W Superior St
Verilife  Galena,42.412529,-90.397057,No,Northwest Illinois nonmetropolitan area,Galena,Verilife  Galena,115 Perry St.
Verilife North Aurora,41.80766,-88.337252,Yes,Chicago-Naperville-Elgin,North Aurora,Verilife North Aurora,2080 West Orchard Rd
Verilife Ottawa,41.349312,-88.844193,Yes,Northwest Illinois nonmetropolitan area,Ottawa,Verilife Ottawa,4100 Columbus St
Verilife Romeoville,41.63947,-88.12626,Yes,Chicago-Naperville-Elgin,Romeoville,Verilife Romeoville,412 N Weber Rd
Verilife  Rosemont,42.00893,-87.888649,No,Chicago-Naperville-Elgin,Rosemont,Verilife  Rosemont,5540 Park Pl
Verilife  Schaumburg,42.03458,-88.116608,No,Chicago-Naperville-Elgin,Schaumburg,Verilife  Schaumburg,150 N Barrington Rd
Vertical Dispensary,42.20864,-88.23464,no,Chicago-Naperville-Elgin,Cary,Vertical Dispensary,20 Northwest Hwy
Vertical People Dispensary,36.99901,-89.16389,No,"Cape Girardeau, MO",Cairo,Vertical People Dispensary,300 Washington Ave.
Village Bucktown,41.92229,-87.67555,No,Chicago-Naperville-Elgin,Chicago,Village Bucktown,1850 W Webster Ave
Village Dispensary - Godfrey,38.92386,-90.18262,No,"St. Louis, MO",Alton,Village Dispensary - Godfrey,110 Homer M Adams Pkwy
Viola CHI,41.86408,-87.85149,No,Chicago-Naperville-Elgin,Broadview,Viola CHI,1516 W Roosevelt Rd.
Windy City Cannabis - Litchfield,39.178619,-89.654663,Yes,West Central Illinois Nonmetropolitan,Litchfield,Windy City Cannabis - Litchfield,719 W Union Ave
Windy City Cannabis  Carpentersville,42.121529,-88.275726,No,Chicago-Naperville-Elgin,Carpentersville,Windy City Cannabis  Carpentersville,125 S Western Ave
Windy City Cannabis  Highwood,42.20475,-87.812431,No,Chicago-Naperville-Elgin,Highwood,Windy City Cannabis  Highwood,260 Green Bay Rd.
Windy City Cannabis Homewood,41.557419,-87.663582,Yes,Chicago-Naperville-Elgin,Homewood,Windy City Cannabis Homewood,1137 W. 175th St
Windy City Cannabis  Macomb,40.45649,-90.669296,No,West Central Illinois Nonmetropolitan,Macomb,Windy City Cannabis  Macomb,518 W Jackson St
Windy City Cannabis Posen,41.628429,-87.68721,Yes,Chicago-Naperville-Elgin,Posen,Windy City Cannabis Posen,2535 Veterans Dr
Zen Leaf - West Loop,41.882488,-87.642761,No,Chicago-Naperville-Elgin,Chicago,Zen Leaf - West Loop,222 S Halsted St
Zen Leaf Evanston,42.054428,-87.693428,Yes,Chicago-Naperville-Elgin,Evanston,Zen Leaf Evanston,1804 Maple Ave
Zen Leaf Highland Park,42.19051,-87.82722,Yes,Chicago-Naperville-Elgin,Highland Park,Zen Leaf Highland Park,2030 Skokie Valley Rd
Zen Leaf Naperville,41.792278,-88.167747,No,Chicago-Naperville-Elgin,Naperville,Zen Leaf Naperville,"1516 N. Naper Blvd, Spc 100"
Zen Leaf Prospect Heights,42.096058,-87.922798,No,Chicago-Naperville-Elgin,Prospect Heights,Zen Leaf Prospect Heights,1434 N Rand Rd.
Zen Leaf Rogers Park,42.009659,-87.667953,Yes,Chicago-Naperville-Elgin,Chicago,Zen Leaf Rogers Park,7305 N Rogers Ave
Zen Leaf St. Charles,41.921181,-88.305168,Yes,Chicago-Naperville-Elgin,Saint Charles,Zen Leaf St. Charles,3691 E. Main St.
ZenLeaf - Aurora,41.745041,-88.241249,No,Chicago-Naperville-Elgin,Aurora,ZenLeaf - Aurora,740 IL Rte 59
ZenLeaf  Lombard,41.870789,-88.014877,No,Chicago-Naperville-Elgin,Lombard,ZenLeaf  Lombard,783 Butterfield Rd.
ZenLeaf Pilsen,41.851841,-87.667221,Yes,Chicago-Naperville-Elgin,Chicago,ZenLeaf Pilsen,1301 S Western Ave
