Dispensary Name,Latitude,Longitude,Serves Medical Patients,BLS Region,City,Dispensary Name,Street Address
Bud & Ritas - West Town,41.89623,-87.67524,No,Chicago-Naperville-Elgin,Chicago,Bud & Ritas - West Town,1914 W Chicago Ave
Bud and Ritas - Niles,42.01524,-87.77661,No,Chicago-Naperville-Elgin,Niles,Bud and Ritas - Niles,5960 W Touhy Ave
Bud and Ritas - Wadsworth,42.46741,-87.94635,No,Chicago-Naperville-Elgin,Wadsworth,Bud and Ritas - Wadsworth,41509 N US Highway 41
Bud and Ritas Chicago,41.93921,-87.7135,No,Chicago-Naperville-Elgin,Chicago,Bud and Ritas Chicago,3425 W Belmont Ave
Bud and Ritas Forsyth,39.92204,-88.95701,No,Decatur,Macon,Bud and Ritas Forsyth,1401 Hickory Point Dr.
Cannabist - Chicago,41.969872,-87.758629,Yes,Chicago-Naperville-Elgin,Chicago,Cannabist - Chicago,4758 N Milwaukee Ave
Cannabist - Villa Park,41.87746,-87.977249,No,Chicago-Naperville-Elgin,Villa Park,Cannabist - Villa Park,133 Roosevelt Rd.
Cannect Dispensary,41.93621,-87.8845,No,Chicago-Naperville-Elgin,Franklin Park,Cannect Dispensary,3147 Mannheim Rd
Cloud 9 - East Peoria,40.67379,-89.58121,No,Peoria,East Peoria,Cloud 9 - East Peoria,406 W Camp St.
Cloud 9 - Oswego,41.71903,-88.31628,No,Chicago-Naperville-Elgin,Oswego,Cloud 9 - Oswego,2420 US Highway 30
Cloud 9 Cannabis - Schaumburg,42.00338,-88.1257,No,Chicago-Naperville-Elgin,Schaumburg,Cloud 9 Cannabis - Schaumburg,1823 W Wise Rd.
Cloud9 - Champaign,40.14236,-88.2515,No,Champaign-Urbana,Champaign,Cloud9 - Champaign,505 W Town Center Blvd.
Cloud9 - Edwardsville,38.78459,-89.95777,No,"St. Louis, MO",Edwardsville,Cloud9 - Edwardsville,2341 Plum St
Cloudhaven - South Beloit,42.49193,-89.02158,No,Rockford,South Beloit,Cloudhaven - South Beloit,1322 Gardner St.
Consume - Oakbrook Terrace,41.87746,-87.977249,No,Chicago-Naperville-Elgin,Oakbrook Terrace,Consume - Oakbrook Terrace,1S130 Summit Ave.
Consume Antioch,42.49072,-88.09443,No,Chicago-Naperville-Elgin,Antioch,Consume Antioch,471 Main St
Consume Carbondale,37.72842,-89.21711,No,Carbondale-Marion,Carbondale,Consume Carbondale,201 E. Main Street
Consume Chicago,41.994659,-87.813988,Yes,Chicago-Naperville-Elgin,Chicago,Consume Chicago,6428 N Milwaukee Ave
Consume Marion,37.725739,-88.923538,Yes,East Central IL Nonmetropolitan,Marion,Consume Marion,8195 Express Dr
Consume St. Charles,41.90451,-88.33858,No,Chicago-Naperville-Elgin,St Charles,Consume St. Charles,584 S Randall Rd.
Cookies - Bloomington,40.48768,-89.04087,No,Bloomington,Bloomington,Cookies - Bloomington,1006 Jc Pkwy
Cookies - Chicago,41.88635,-87.64111,No,Chicago-Naperville-Elgin,Chicago,Cookies - Chicago,215 N Clinton St
Cookies - Peoria Heights,40.73685,-89.57711,No,Peoria,Peoria Heights,Cookies - Peoria Heights,1209 E War Memorial Dr
Cookies - Pontoon Beach,38.75004,-90.07197,No,"St. Louis, MO",Pontoon Beach,Cookies - Pontoon Beach,5111 State Route 111
Cookies Bolingbrook,41.69409,-88.10299,No,Chicago-Naperville-Elgin,Bolingbrook,Cookies Bolingbrook,190 S Weber Rd
Curaleaf  Deerfield,42.16922,-87.863632,Yes,Chicago-Naperville-Elgin,Deerfield,Curaleaf  Deerfield,677 Lake Cook Rd
Curaleaf  Justice,41.744541,-87.834267,Yes,Chicago-Naperville-Elgin,Justice,Curaleaf  Justice,8340 S Roberts Rd
Curaleaf  Lincoln Park,41.89859,-87.65892,No,Chicago-Naperville-Elgin,Chicago,Curaleaf  Lincoln Park,923 W. Weed St.
Curaleaf  Melrose Park,41.900928,-87.858192,No,Chicago-Naperville-Elgin,Melrose Park,Curaleaf  Melrose Park,1413 West North Ave.
Curaleaf  Morris,41.36549,-88.419434,Yes,Chicago-Naperville-Elgin,Morris,Curaleaf  Morris,2400 W US Route 6
Curaleaf New Lenox,41.51329,-87.94875,Yes,Chicago-Naperville-Elgin,New Lenox,Curaleaf New Lenox,705 E Lincoln Hwy.
Curaleaf  Northbrook,42.13925,-87.79151,No,Chicago-Naperville-Elgin,Northbrook,Curaleaf  Northbrook,755 Skokie Blvd.
Curaleaf  Skokie,42.06295,-87.74706,No,Chicago-Naperville-Elgin,Skokie,Curaleaf  Skokie,10000 Skokie Blvd
Curaleaf Westmont,41.790771,-87.97683,No,Chicago-Naperville-Elgin,Westmont,Curaleaf Westmont,11 E. Ogden Ave.
Curaleaf  Worth,41.691341,-87.791733,Yes,Chicago-Naperville-Elgin,Worth,Curaleaf  Worth,11425 S Harlem Ave
Dispensary 33,41.971512,-87.661819,Yes,Chicago-Naperville-Elgin,Chicago,Dispensary 33,5001 N Clark St
Dispensary 33 - Fulton Market,41.88472,-87.65628,No,Chicago-Naperville-Elgin,Chicago,Dispensary 33 - Fulton Market,1152 W. Randolph
Dr Greenthumbs Chicago,41.92243,-87.66915,No,Chicago-Naperville-Elgin,Chicago,Dr Greenthumbs Chicago,2200 N Ashland Ave
Dutchess - Lynwood,41.52297,-87.55769,No,Chicago-Naperville-Elgin,Lynwood,Dutchess - Lynwood,20513 Torrence Ave
Dutchess Cannabis - Batavia,41.84802,-88.33947,No,Chicago-Naperville-Elgin,Batavia,Dutchess Cannabis - Batavia,144 S Randall Rd
Dutchess Cannabis - Markham,41.59998,-87.69299,No,Chicago-Naperville-Elgin,Markham,Dutchess Cannabis - Markham,3063 W 159th St.
Dutchess Cannabis  Morton Grove,42.04032,-87.79474,No,Chicago-Naperville-Elgin,Morton Grove,Dutchess Cannabis  Morton Grove,6761 Dempster St
Dutchess Cannabis N. Riverside,41.85125,-87.83228,No,Chicago-Naperville-Elgin,North Riverside,Dutchess Cannabis N. Riverside,8380 W Cermak Rd
Dutchess Cannabis Oak Park,41.88886,-87.80427,Yes,Chicago-Naperville-Elgin,Oak Park,Dutchess Cannabis Oak Park,1132 Lake St
EarthMed,41.932129,-88.007408,Yes,Chicago-Naperville-Elgin,Addison,EarthMed,852 S Westgate St
Earthmed - McHenry,42.35231,-88.26777,No,Chicago-Naperville-Elgin,McHenry,Earthmed - McHenry,1711 N Richmond Rd.
Earthmed Rosemont,42.00893,-87.888649,No,Chicago-Naperville-Elgin,Rosemont,Earthmed Rosemont,10441 E. Touhy Ave.
Emerald - Island Lake,42.27008,-88.1875,No,Chicago-Naperville-Elgin,Island Lake,Emerald - Island Lake,660 E State Rd.
Excelleaf Dispensary,41.93122,-88.7506,No,Chicago-Naperville-Elgin,DeKalb,Excelleaf Dispensary,305 E Locust St
Goodies - Streamwood,42.01683,-88.14512,No,Chicago-Naperville-Elgin,Streamwood,Goodies - Streamwood,1594 Buttitta Dr
Grasshopper Club - South Loop,41.86801,-87.62376,No,Chicago-Naperville-Elgin,Chicago,Grasshopper Club - South Loop,58 E Roosevelt Rd Fl 1
Grasshopper Club Logan Square,41.92798,-87.70494,No,Chicago-Naperville-Elgin,Chicago,Grasshopper Club Logan Square,2551 N. Milwaukee Ave.
Green Releaf - Bourbonnais,41.17621,-87.85083,No,Kankakee,Bourbonnais,Green Releaf - Bourbonnais,1660 N State Route 50
Green Releaf - Villa Park,41.90614,-87.98619,No,Chicago-Naperville-Elgin,Villa Park,Green Releaf - Villa Park,305 W North Ave
Green Rose - Chicago,41.89293,-87.63401,No,Chicago-Naperville-Elgin,Chicago,Green Rose - Chicago,612 N. Wells St.
Green Rose - Harwood Heights,41.96552,-87.80749,No,Chicago-Naperville-Elgin,Harwood Heights,Green Rose - Harwood Heights,4660 N Harlem Ave
Green Rose - Lincolnwood,42.01512,-87.74529,No,Chicago-Naperville-Elgin,Lincolnwood,Green Rose - Lincolnwood,4656 W Touhy Ave
Green Temple,38.73357,-89.91544,No,"St. Louis, MO",Troy,Green Temple,904 Edwardsville Rd.
Greenlight Dispensary - Park City,42.34735,-87.88327,No,Chicago-Naperville-Elgin,Park City,Greenlight Dispensary - Park City,3331 Belvidere Rd Suites B C
Guaranteed Dispensary,41.89329,-87.62058,No,Chicago-Naperville-Elgin,Chicago,Guaranteed Dispensary,620 N Fairbanks Ct
Hatch Dispensary,41.932129,-88.007408,Yes,Chicago-Naperville-Elgin,Addison,Hatch Dispensary,1433 W Fullerton Ave Ste C
Hatch Dispensary  Wheeling,42.13361,-87.929398,No,Chicago-Naperville-Elgin,Wheeling,Hatch Dispensary  Wheeling,1500 E Lake Cook Rd
Herb Social,38.7301,-87.68294,No,East Central IL Nonmetropolitan,Lawrenceville,Herb Social,616 12th St.
Here and Now - Des Plaines,42.02752,-87.89354,No,Chicago-Naperville-Elgin,Des Plaines,Here and Now - Des Plaines,1587 Lee St.
Hi Five Crestwood,41.65017,-87.73876,No,Chicago-Naperville-Elgin,Crestwood,Hi Five Crestwood,13352 Cicero Ave
Hi Rise Dispensary,42.05792,-88.14376,No,Chicago-Naperville-Elgin,Hoffman Estates,Hi Rise Dispensary,1795 N Barrington Rd
High Haven Darien,41.74043,-87.97197,No,Chicago-Naperville-Elgin,Darien,High Haven Darien,8131 Cass Ave
High Haven Dispensary,40.50939,-88.95499,No,Bloomington,Normal,High Haven Dispensary,106 Mall Dr
High Haven Elgin,42.02897,-88.27615,No,Chicago-Naperville-Elgin,Elgin,High Haven Elgin,15 Clock Tower Plz
High Profile - Martinsville,39.36201,-87.88329,No,East Central IL Nonmetropolitan,Martinsville,High Profile - Martinsville,3001 N York St.
High Profile - Metropolis,37.16252,-88.70122,No,South Illinois Nonmetropolitan,Metropolis,High Profile - Metropolis,1801 E 5th St
High Profile Cannabis Shop,39.73934,-89.70497,No,Springfield,Springfield,High Profile Cannabis Shop,4211 Conestoga Dr
Ivy Hall - Bolingbrook,41.68972,-88.06892,No,Chicago-Naperville-Elgin,Bolingbrook,Ivy Hall - Bolingbrook,361 S Bolingbrook Dr
Ivy Hall - Crystal Lake,42.22763,-88.29678,No,Chicago-Naperville-Elgin,Crystal Lake,Ivy Hall - Crystal Lake,501 Pingree Rd.
Ivy Hall - Damen,41.91321,-87.67734,No,Chicago-Naperville-Elgin,Chicago,Ivy Hall - Damen,1720 N Damen Ave.
Ivy Hall - Edwardsville,38.82384,-89.97343,No,"St. Louis, MO",Edwardsville,Ivy Hall - Edwardsville,6197 Old Alton Edwardsville Rd
Ivy Hall - Glendale Heights,41.93694,-88.08078,No,Chicago-Naperville-Elgin,Glendale Heights,Ivy Hall - Glendale Heights,2130 Bloomingdale Rd Unit B
